Name,URL,Building_Location,Location,Region,Independency,Job_opportunities,Colloquiums,OCW,latitude,longitude
The Ohio State University,https://astronomy.osu.edu,,"281 W Lane Ave, Columbus, OH 43210美國","Extrasolar Planetary Systems,Stellar Structure & Evolution,Star Formation & Interstellar Chemistry,Supernovae, Gamma-Ray Bursts & Compact Objects,Galactic Structure,Gravitational Lensing and Microlensing,Galaxy Formation & Evolution,Active Galactic Nuclei & Quasars,Cosmology & Large-Scale Structure,Astronomical Instrumentation",Yes,,,,40.002441,-83.01232671
Pennsylvania State University,https://science.psu.edu/astro,,"State College, PA 16801美國","Astrostatistics and Astroinformatics,Computational Astrophysics,Cosmology,Exoplanets and Brown Dwarfs,Extragalactic Astronomy,High Energy Astrophysics,Neutron Stars,Particle Astrophysics,Star Formation,Stellar Astrophysics",Yes,,,,40.79805084,-77.86034828
The University Of Sydney,https://www.sydney.edu.au/science/our-research/research-centres/sydney-institute-for-astronomy.html#research,,Camperdown NSW 2006澳洲,"Solar flares,Discovering exoplanets,Stars and stellar remnants,The Milky Way and the Local Group,Supernova remnants,Extragalactic astronomy,Gravitational lensing,Cosmology,Astrophotonics",No,,,,-33.88871728,151.1870704
University Of Colorado Boulder,https://www.colorado.edu/aps/,,"Boulder, CO 80309美國","Planetary Science,Observational Astrophysics,Theoretical Astrophysics,Astronomy Education,Space Physics,Solar Physics,Instrumentation",Yes,,,,40.00750702,-105.2663172
Durham University,https://astro.dur.ac.uk,"Institute for Computational Cosmology,
Ogden Centre for Fundamental Physics - West,
Department of Physics,
Durham University,
South Road,
Durham DH1 3LE","Lower Mountjoy, South Rd, Durham DH1 3LE, United Kingdom",Research in Theoretical Astrophysics,No,https://www.dur.ac.uk/jobs/,,,54.76707014,-1.573869609
Delft University Of Technology,https://spaceinstitute.tudelft.nl,,"Mekelweg 5, 2628 CD Delft, 荷蘭",,No,,,,52.00205978,4.373426395
Universität Hamburg,https://www1.physik.uni-hamburg.de/en.html,,,"Astroparticle Physics,Gravitational Wave Sources,Early Universe Relics,Magnetohydrodynamics in the Early Universe,Ultra-High Energy Cosmic Rays",No,,,,53.56998811,9.976685373
Perdue University,http://www.physics.purdue.edu,,,Astrophysics & Relativity,No,,,,40.42364004,-86.92123752
University Of Pisa,http://astro.df.unipi.it/SAA/,,"Lungarno Antonio Pacinotti, 43, 56126 Pisa PI, Italy","Cosmology/ Galactic Structure and Evolution,High Energy Astrophysics/ Astroparticle,Interstellar Medium,Planetary/ Extrasolar,Plasma/ MHD/ Fluids,Stellar Astrophysics",Yes,http://astro.df.unipi.it/SAA/astro_links_job.html,,,43.71666301,10.39884874
Sungkyunkwan University,http://physics.skku.ac.kr/xe/eng,"SKKU PHYSICS, 2066, Seobu-ro, Jangan-gu, Suwon-si, Gyeong Gi-do, Korea","25-2 Sungkyunkwan-ro, Myeongnyun 3(sam)ga-dong, Jongno-gu, Seoul, 南韓","cosmology,Experimental Gravitational Wave",No,,,,37.3003187,126.9697911
University Of Geneva,https://www.unige.ch/sciences/astro/en/,"24 rue du Général-Dufour
1211 Genève 4","1205 Geneva, 瑞士",,Yes,,,,46.19632209,6.142722569
University Of Waterloo,https://uwaterloo.ca/astrophysics-centre/,"Department of Physics and Astronomy
University of Waterloo
200 University Avenue West
Waterloo, Ontario, Canada N2L 3G1","200 University Ave W, Waterloo, ON N2L 3G1加拿大","Cosmology,Black hole,Gravitational waves and gravitational lenses,Galaxies,Stars,ISM,GR,QM",No,https://uwaterloo.ca/astrophysics-centre/postdoctoral-opportunities,https://uwaterloo.ca/astrophysics-centre/talks,,43.4682762,-80.5429494
Nanjing University,https://astronomy.nju.edu.cn/,"Astronomy Building, Xianlin Campus, Nanjing University, 163 Xianlin Avenue, Nanjing, Jiangsu, 210093, P.R.China","Gulou, Nanjing, Jiangsu, 中國","High Energy Astrophysics,Solar Physics,Galaxies and Cosmology,Celestial Mechanics and Planetary Dynamics,Astronomical Reference System and Astrometry,Space Weather,Spacecraft Orbit Design and Control",Yes,https://astronomy.nju.edu.cn/cpyc/cpyc/index.html,,,32.0689019,118.7647684
University Of Copenhagen,https://www.nbi.ku.dk/english/research/astrophysics/,"Blegdamsvej 17, 2100 København, Denmark","MHJC+3H Copenhagen Municipality, Denmark","Planets,Stars,Galaxies,Cosmology,High energy astrophysics",Yes,https://employment.ku.dk/,,,55.69682,12.57144881
